RX	1-thread	2-thread-optimal	2-thread-old
6	71.962		120.77				96.226
9	65.054		110.726				90.411
12	54.067		89.582				83.776
18	48.688		74.278				73.937
24	36.741		63.968				62.467
36	31.671		50.857				50.816
48	28.651		46.415				42.635
54	25.201		50.433				38.588

TX	1-thread	2-thread-optimal	2-thread-old
6	29.245		35.979				32.814
9	43.297		56.683				50.832
12	51.829		74.493				60.855
18	74.122		110.402				96.483
24	94.541		149.128				125.709
36	108.226		197.308				189.067
48	109.641		193.472				191.033
54	125.764		205.676				195.653
